osm_id,name,lat,lon,hie_visual_detected,hie_confidence,hie_det_lat,hie_det_lon,hie_offset_m,naip_status
368395992,Colts Neck Police Heliport,40.2949547,-74.1898743,True,0.48994386196136475,40.29476380887531,-74.1896001015755,31.48569859609978,ok
368395993,Elmport Heliport,40.3173349,-74.1590329,False,0.0,,,,ok
368395995,Caputo Helistop,39.8809506,-74.994339,True,0.29732033610343933,39.880635489283144,-74.99460513394094,41.75409950189479,ok
368395998,Metropolitan Electric Heliport,40.8887499,-74.1631026,False,0.0,,,,ok
368396016,Atrium at Somerset Heliport,40.5367738,-74.5218293,True,0.29958489537239075,40.536426406225296,-74.52231872416506,56.59320823692923,ok
368396020,O'Dwyer Airport,40.4655369,-74.8269485,False,0.0,,,,ok
368396027,Folsom Airport,39.595199,-74.8147784,False,0.0,,,,ok
368396035,Cruz Farm Heliport,40.1867842,-74.1501453,True,0.38598230481147766,40.1864508423374,-74.15018388371966,37.212302228467486,ok
368396044,High Meadow Farms Airport,40.8960333,-75.004524,False,0.0,,,,ok
368396048,Peddie School Heliport,40.262138,-74.5181163,True,0.2773520350456238,40.26233520737514,-74.51864695677344,50.08318247359163,ok
368396054,Bertino Heliport,39.6356763,-74.7484991,False,0.0,,,,ok
368396082,Newark Academy Heliport,40.7773119,-74.3579156,False,0.0,,,,ok
368396089,Penske 2 Heliport,40.8839908,-74.0679236,True,0.5874074101448059,40.884315034189726,-74.06841372635907,54.75002982776776,ok
368396132,Bayway Refinery Heliport,40.6362202,-74.2337608,True,0.328840970993042,40.636289678754935,-74.23382461230005,9.416992939821483,ok
368396144,Caven Point USAR Center Heliport,40.6501097,-74.082372,False,0.0,,,,ok
368396145,Kearny Helistop,40.7360609,-74.0975866,True,0.3519238829612732,40.73586088540244,-74.09735227078161,29.73967666403812,ok
368396152,Rutgers Helistop Number 1 Heliport,40.5148057,-74.4670673,True,0.2603360712528229,40.51446672789256,-74.46697960177626,38.41413865655796,ok
368396154,New Brunswick Gas Distribution Heliport,40.4739985,-74.4834915,False,0.0,,,,ok
368396211,Griffin Associates Heliport,39.9720594,-74.919056,True,0.26423782110214233,39.97168182858426,-74.91950014725576,56.52558237476166,ok
368396222,Johnson & Johnson,40.8412151,-74.4740543,True,0.3511243462562561,40.84081366719368,-74.47377321590288,50.51326924965123,ok
368396263,Osterman Heliport,40.4862173,-74.7351689,True,0.4336985647678375,40.48582077983291,-74.73470475882498,59.03223167699662,ok
368396267,Rutgers Helistop Sections A and B Heliport,40.4792747,-74.4340429,True,0.8263815641403198,40.479645253359685,-74.43443594908871,52.94231763782811,ok
368396268,Albert Guido Memorial Heliport,40.7399857,-74.1361049,True,0.7685502171516418,40.739589881638516,-74.13585851561383,48.66247672361431,ok
368396293,Mid-State Heliport,40.6003726,-75.7188021,False,0.0,,,,ok
368396298,Fiddlers Elbow Country Club Heliport,40.6334376,-74.7323881,True,0.3335699141025543,40.633328820131155,-74.73295128943671,49.03983538962459,ok
368396299,Halls Number 1 Heliport,40.5744948,-74.5649456,False,0.0,,,,ok
368396301,Enzon South Plainfield Heliport,40.554828,-74.4193202,False,0.0,,,,ok
368396317,Penske Heliport,40.5573258,-74.4665423,False,0.0,,,,ok
368396327,Wyeth-Ayerst Research Heliport,40.3650734,-74.5817827,False,0.0,,,,ok
368396344,Merck Readington Township Heliport,40.6398354,-74.7655768,True,0.6200281977653503,40.63993646000719,-74.76585241007582,25.82782928354161,ok
368396345,Pfister Helistop,40.8506567,-74.0138888,False,0.0,,,,ok
368396353,Passaic River Seaplane Base,40.8295088,-74.1209189,True,0.2852391302585602,40.82921684886813,-74.12071206605161,36.83366993618541,ok
368396354,Holiday Inn Stop Heliport,39.8584508,-75.0651739,False,0.0,,,,ok
368396369,A M Classics Heliport,39.6465039,-75.3038007,False,0.0,,,,ok
368396389,Vineland Veterans Home Heliport,39.4951162,-75.0301802,False,0.0,,,,ok
368396390,Kroelinger Airport,39.5240789,-75.0450914,False,0.0,,,,ok
368396405,Ravens Nest Heliport,40.6903819,-74.3073746,True,0.3792969882488251,40.690076614561626,-74.30768836729078,43.037123444980494,ok
368396419,Saint Francis Medical Center Helistop,40.2176322,-74.7419357,True,0.41245919466018677,40.2180434580848,-74.74219396094435,50.71558123685583,ok
368396422,Colgate Palmolive Heliport,40.0370616,-74.8426679,False,0.0,,,,ok
368396427,Garden State Balloonport,40.6334355,-74.7657239,False,0.0,,,,ok
368396429,Graphic Scanning Corporation Heliport,40.8862108,-73.9906999,False,0.0,,,,ok
368396430,185 Monmouth Parkway Associates Helistop,40.3006399,-74.0257179,True,0.289366751909256,40.30023004552641,-74.0255495022349,47.75885707309868,ok
368947313,Evergreen Heliport,38.9370552,-77.8191613,True,0.3965322971343994,38.93740680460834,-77.8187778424941,51.26903623542802,ok
368947568,Heronwood Heliport,38.9723318,-77.8580507,False,0.0,,,,ok
368985296,Moore Dogs Heliport,41.9253804,-70.8028165,False,0.0,,,,ok
368985297,Double A Heliport,41.9251438,-70.773048,False,0.0,,,,ok
368985299,Sampson Pond Heliport,41.8603809,-70.7511482,False,0.0,,,,ok
368985311,Dow Jones Heliport,42.1638611,-72.5526258,True,0.3612300157546997,42.163870925278474,-72.55261254459582,1.5450581244976078,ok
368985314,Oxbow Corporation Heliport,42.2181534,-71.2967232,False,0.0,,,,ok
