OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,ELEVATION,ICAO_ID,TYPE_CODE,SERVCITY,STATE,COUNTRY,OPERSTATUS,PRIVATEUSE,IAPEXISTS,DODHIFLIP,FAR91,FAR93,MIL_CODE,AIRANAL,US_HIGH,US_LOW,AK_HIGH,AK_LOW,US_AREA,PACIFIC,lat,lon
9394,02DC8523-1F95-4B27-B5A2-3056AE50A91D,02NJ,Merck Kenilworth Campus,40-40-28.6400N,074-16-41.4700W,166.0,,HP,KENILWORTH,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.67462222222222,-74.27818611111111
9401,3CC52E9D-5D93-4F7C-B337-14CA81B498EE,7NJ0,Indian Mills,39-48-07.9000N,074-45-34.3000W,90.0,,HP,MEDFORD,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.80219444444444,-74.75952777777778
9402,E9430BE0-96AF-423B-A671-6C8BADD87992,JY15,Alex and Angel,39-53-28.8700N,074-48-40.7000W,50.0,,HP,MEDFORD,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.891352777777776,-74.81130555555555
9406,260DF701-77D4-4B47-BAD6-D31F7A8D907B,73NJ,Montague,41-18-45.3000N,074-45-54.1000W,644.0,,HP,MONTAGUE,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.31258333333333,-74.76502777777777
9407,082B041A-4DF0-44B1-89F1-8BD1FB85B80C,0NJ4,Weichert Headquarters,40-50-25.7000N,074-27-42.5000W,338.0,,HP,MORRIS PLAINS,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.840472222222225,-74.46180555555556
9408,B9C81167-9322-4277-BE6B-FAE28E07F1B7,12NJ,Honeywell,40-50-13.5000N,074-28-36.1000W,201.0,,HP,MORRIS PLAINS,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.83708333333333,-74.47669444444445
9410,42D7C918-93FC-449C-84A4-59FB4C3CE3A4,7NJ5,Morristown Medical Center,40-47-21.7200N,074-27-56.9500W,422.0,,HP,MORRISTOWN,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.789366666666666,-74.46581944444445
9411,BA781B04-0F92-436C-B925-B8826EF78670,0NJ2,Ballymere,40-45-10.3620N,074-26-23.5510W,280.0,,HP,MORRISTOWN,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.752878333333335,-74.43987527777779
9413,47C0B1D3-EAAE-4711-B4C1-5D056C0B8F99,0NJ3,Mount Holly,39-58-41.2400N,074-47-02.2300W,45.0,,HP,MOUNT HOLLY,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.978122222222225,-74.78395277777777
9414,E0E1059F-3946-4E87-8C71-74DF0C94BAD1,NJ97,Nj Turnpike Authority,39-57-22.0000N,074-55-10.9000W,42.0,,HP,MOUNT LAUREL,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.95611111111111,-74.91969444444445
9415,75E5337D-45A2-4A57-8DA8-A7BA173C350A,JY02,Trade Zone,40-53-47.2800N,074-43-09.5300W,830.0,,HP,MOUNT OLIVE,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.89646666666667,-74.71931388888889
9416,12088F21-8561-4311-A57B-F280EB527A40,NJ05,Jersey Shore University Medical Center,40-12-35.3500N,074-02-27.7900W,104.0,,HP,NEPTUNE,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.20981944444445,-74.04105277777778
9418,1175AD44-2804-423B-8C1F-C0AF36F0B337,NJ92,St Benedict's,40-44-06.5300N,074-10-42.5900W,90.0,,HP,NEWARK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.735147222222224,-74.17849722222223
9419,A1B83622-E01D-4A72-BCD3-FEAD96DD5152,7NJ3,Newton Meml Hospital,41-03-26.0000N,074-46-12.0000W,500.0,,HP,NEWTON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.05722222222222,-74.77
9420,D0A92CA9-AB33-4A11-89FF-2BD36BF7C5C8,JY36,Mianecki,41-02-05.4000N,074-50-47.1000W,626.0,,HP,NEWTON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.03483333333333,-74.84641666666666
9421,20167379-6FBE-433F-9E9A-C7AE713BDB0B,27JY,Heaton,41-07-34.2400N,074-49-21.9000W,942.0,,HP,NEWTON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.12617777777778,-74.82275
